portfolio_id,ticker,asset_class,quantity
P00001,V,Equity,33.0
P00001,GOOGL,Equity,76.0
P00001,TLT,Bonds,149.0
P00001,UNH,Equity,49.0
P00001,INTC,Equity,16.0
P00001,CASH,Cash,3541.89
P00002,MSFT,Equity,9.0
P00002,V,Equity,69.0
P00002,TLT,Bonds,124.0
P00002,AAPL,Equity,58.0
P00002,CASH,Cash,901.4
P00002,AMZN,Equity,77.0
P00003,ORCL,Equity,67.0
P00003,V,Equity,20.0
P00003,TMO,Equity,18.0
P00003,CASH,Cash,4076.39
P00003,BND,Bonds,67.0
P00004,GOOGL,Equity,44.0
P00004,TLT,Bonds,92.0
P00004,UNH,Equity,26.0
P00004,META,Equity,50.0
P00004,TMO,Equity,15.0
P00004,HYG,Bonds,65.0
P00004,COST,Equity,32.0
P00004,AAPL,Equity,39.0
P00004,AMZN,Equity,63.0
P00005,MSFT,Equity,19.0
P00005,GOOGL,Equity,43.0
P00005,AGG,Bonds,122.0
P00005,UNH,Equity,8.0
P00005,PEP,Equity,50.0
P00005,CSCO,Equity,17.0
P00005,CASH,Cash,1768.51
P00005,CRM,Equity,76.0
P00005,IEF,Bonds,193.0
P00005,BND,Bonds,163.0
P00005,NFLX,Equity,27.0
P00006,MSFT,Equity,12.0
P00006,HD,Equity,56.0
P00006,V,Equity,38.0
P00006,TLT,Bonds,33.0
P00006,TMO,Equity,42.0
P00006,CSCO,Equity,7.0
P00006,CASH,Cash,18231.75
P00006,IEF,Bonds,59.0
P00006,AMZN,Equity,54.0
P00006,BND,Bonds,69.0
P00007,JPM,Equity,44.0
P00007,ORCL,Equity,46.0
P00007,AGG,Bonds,45.0
P00007,PEP,Equity,77.0
P00007,CSCO,Equity,63.0
P00007,META,Equity,75.0
P00007,HYG,Bonds,180.0
P00007,CASH,Cash,12159.05
P00007,AMZN,Equity,74.0
P00008,LQD,Bonds,26.0
P00008,V,Equity,19.0
P00008,AGG,Bonds,18.0
P00008,META,Equity,29.0
P00008,CASH,Cash,8079.21
P00008,CRM,Equity,25.0
P00008,KO,Equity,67.0
P00009,MSFT,Equity,31.0
P00009,V,Equity,26.0
P00009,AGG,Bonds,113.0
P00009,CSCO,Equity,15.0
P00009,COST,Equity,65.0
P00009,CASH,Cash,1953.74
P00009,AMZN,Equity,79.0
P00009,BND,Bonds,156.0
P00010,JPM,Equity,19.0
P00010,UNH,Equity,5.0
P00010,INTC,Equity,66.0
P00010,HYG,Bonds,144.0
P00010,NVDA,Equity,59.0
P00010,COST,Equity,62.0
P00010,ADBE,Equity,10.0
P00010,BND,Bonds,78.0
P00011,LQD,Bonds,32.0
P00011,ORCL,Equity,69.0
P00011,UNH,Equity,51.0
P00011,TMO,Equity,29.0
P00011,CSCO,Equity,9.0
P00011,CASH,Cash,6564.16
P00011,BND,Bonds,71.0
P00012,MSFT,Equity,59.0
P00012,LQD,Bonds,131.0
P00012,TLT,Bonds,178.0
P00012,NVDA,Equity,40.0
P00012,TMO,Equity,13.0
P00012,CASH,Cash,14408.27
P00012,IEF,Bonds,154.0
P00012,ADBE,Equity,47.0
P00012,AMZN,Equity,62.0
P00012,NFLX,Equity,42.0
P00013,AGG,Bonds,109.0
P00013,UNH,Equity,37.0
P00013,HYG,Bonds,14.0
P00013,CSCO,Equity,13.0
P00013,CASH,Cash,1112.87
P00013,COST,Equity,52.0
P00013,CRM,Equity,28.0
P00013,IEF,Bonds,106.0
P00013,ADBE,Equity,73.0
P00013,NFLX,Equity,23.0
P00013,KO,Equity,35.0
P00014,UNH,Equity,61.0
P00014,HYG,Bonds,53.0
P00014,META,Equity,10.0
P00014,AAPL,Equity,26.0
P00014,CASH,Cash,3643.82
P00014,CRM,Equity,74.0
P00015,HD,Equity,65.0
P00015,JPM,Equity,52.0
P00015,GOOGL,Equity,70.0
P00015,AGG,Bonds,162.0
P00015,TLT,Bonds,45.0
P00015,CASH,Cash,17904.9
P00015,NFLX,Equity,45.0
P00016,HYG,Bonds,163.0
P00016,COST,Equity,72.0
P00016,AAPL,Equity,28.0
P00016,IEF,Bonds,30.0
P00016,CASH,Cash,4944.74
P00016,ADBE,Equity,37.0
P00016,NFLX,Equity,66.0
P00017,MSFT,Equity,69.0
P00017,HD,Equity,5.0
P00017,ORCL,Equity,43.0
P00017,V,Equity,36.0
P00017,INTC,Equity,21.0
P00017,HYG,Bonds,32.0
P00017,NVDA,Equity,30.0
P00017,IEF,Bonds,189.0
P00017,AMZN,Equity,29.0
P00017,BND,Bonds,108.0
P00018,LQD,Bonds,143.0
P00018,ORCL,Equity,32.0
P00018,UNH,Equity,77.0
P00018,META,Equity,77.0
P00018,CASH,Cash,5409.75
P00018,BND,Bonds,104.0
P00018,NFLX,Equity,27.0
P00019,HD,Equity,26.0
P00019,LQD,Bonds,17.0
P00019,JPM,Equity,50.0
P00019,GOOGL,Equity,42.0
P00019,PEP,Equity,8.0
P00019,CRM,Equity,25.0
P00019,BND,Bonds,182.0
P00019,KO,Equity,22.0
P00020,LQD,Bonds,37.0
P00020,ORCL,Equity,41.0
P00020,V,Equity,78.0
P00020,TLT,Bonds,55.0
P00020,COST,Equity,55.0
P00020,AAPL,Equity,62.0
P00020,CASH,Cash,5133.93
P00020,AMZN,Equity,59.0
P00021,MSFT,Equity,32.0
P00021,LQD,Bonds,130.0
P00021,COST,Equity,52.0
P00021,CASH,Cash,10947.61
P00021,AMZN,Equity,11.0
P00022,LQD,Bonds,168.0
P00022,JPM,Equity,29.0
P00022,ORCL,Equity,18.0
P00022,HYG,Bonds,17.0
P00022,NVDA,Equity,49.0
P00022,INTC,Equity,55.0
P00022,CASH,Cash,823.46
P00022,ADBE,Equity,43.0
P00023,LQD,Bonds,53.0
P00023,JPM,Equity,53.0
P00023,GOOGL,Equity,18.0
P00023,ORCL,Equity,56.0
P00023,AGG,Bonds,83.0
P00023,TMO,Equity,75.0
P00023,COST,Equity,15.0
P00023,CASH,Cash,7150.79
P00023,CRM,Equity,13.0
P00023,ADBE,Equity,74.0
P00023,BND,Bonds,176.0
P00023,NFLX,Equity,24.0
P00024,MSFT,Equity,54.0
P00024,GOOGL,Equity,66.0
P00024,HYG,Bonds,115.0
P00024,CASH,Cash,10828.19
P00024,KO,Equity,23.0
P00025,MSFT,Equity,11.0
P00025,ORCL,Equity,72.0
P00025,V,Equity,72.0
P00025,JPM,Equity,52.0
P00025,GOOGL,Equity,30.0
P00025,TLT,Bonds,76.0
P00025,AGG,Bonds,147.0
P00025,CRM,Equity,72.0
P00025,AMZN,Equity,71.0
P00025,BND,Bonds,158.0
P00026,V,Equity,53.0
P00026,META,Equity,11.0
P00026,TMO,Equity,17.0
P00026,ADBE,Equity,72.0
P00026,BND,Bonds,125.0
P00027,MSFT,Equity,5.0
P00027,HD,Equity,12.0
P00027,AGG,Bonds,136.0
P00027,META,Equity,5.0
P00027,AAPL,Equity,17.0
P00027,CRM,Equity,46.0
P00027,BND,Bonds,141.0
P00027,KO,Equity,53.0
P00028,HD,Equity,21.0
P00028,LQD,Bonds,145.0
P00028,JPM,Equity,22.0
P00028,ORCL,Equity,29.0
P00028,GOOGL,Equity,60.0
P00028,NVDA,Equity,53.0
P00028,HYG,Bonds,171.0
P00028,CASH,Cash,13323.45
P00028,COST,Equity,47.0
P00028,IEF,Bonds,27.0
P00028,ADBE,Equity,32.0
P00029,TLT,Bonds,60.0
P00029,INTC,Equity,23.0
P00029,CASH,Cash,19473.71
P00029,ADBE,Equity,34.0
P00029,NFLX,Equity,71.0
P00030,LQD,Bonds,129.0
P00030,V,Equity,64.0
P00030,META,Equity,42.0
P00030,CSCO,Equity,48.0
P00030,AMZN,Equity,41.0
P00031,MSFT,Equity,19.0
P00031,LQD,Bonds,147.0
P00031,V,Equity,26.0
P00031,AGG,Bonds,14.0
P00031,UNH,Equity,53.0
P00031,INTC,Equity,18.0
P00031,TMO,Equity,75.0
P00031,HYG,Bonds,191.0
P00031,COST,Equity,73.0
P00031,CASH,Cash,7718.09
P00031,AMZN,Equity,6.0
P00032,V,Equity,74.0
P00032,AGG,Bonds,91.0
P00032,TLT,Bonds,193.0
P00032,UNH,Equity,77.0
P00032,COST,Equity,68.0
P00032,CASH,Cash,6241.75
P00032,CRM,Equity,33.0
P00032,KO,Equity,68.0
P00033,LQD,Bonds,70.0
P00033,GOOGL,Equity,17.0
P00033,AGG,Bonds,115.0
P00033,TLT,Bonds,187.0
P00033,UNH,Equity,57.0
P00033,NVDA,Equity,47.0
P00033,CSCO,Equity,12.0
P00033,AAPL,Equity,51.0
P00033,CRM,Equity,79.0
P00033,AMZN,Equity,15.0
P00034,HD,Equity,43.0
P00034,LQD,Bonds,176.0
P00034,ORCL,Equity,60.0
P00034,V,Equity,57.0
P00034,AGG,Bonds,143.0
P00034,PEP,Equity,31.0
P00034,META,Equity,27.0
P00034,TMO,Equity,65.0
P00034,CRM,Equity,65.0
P00034,IEF,Bonds,174.0
P00035,HD,Equity,73.0
P00035,LQD,Bonds,107.0
P00035,JPM,Equity,42.0
P00035,GOOGL,Equity,64.0
P00035,UNH,Equity,53.0
P00035,NVDA,Equity,57.0
P00035,CSCO,Equity,64.0
P00035,HYG,Bonds,179.0
P00035,NFLX,Equity,30.0
P00036,MSFT,Equity,33.0
P00036,ORCL,Equity,12.0
P00036,AGG,Bonds,119.0
P00036,UNH,Equity,7.0
P00036,HYG,Bonds,98.0
P00036,CSCO,Equity,45.0
P00036,CASH,Cash,6087.55
P00036,ADBE,Equity,49.0
P00036,BND,Bonds,15.0
P00036,NFLX,Equity,7.0
P00037,UNH,Equity,66.0
P00037,HYG,Bonds,78.0
P00037,NVDA,Equity,14.0
P00037,META,Equity,44.0
P00037,CASH,Cash,15514.87
P00038,LQD,Bonds,51.0
P00038,ORCL,Equity,51.0
P00038,GOOGL,Equity,11.0
P00038,TLT,Bonds,19.0
P00038,TMO,Equity,44.0
P00038,PEP,Equity,45.0
P00038,INTC,Equity,52.0
P00038,AAPL,Equity,59.0
P00038,CASH,Cash,19529.12
P00038,CRM,Equity,43.0
P00038,IEF,Bonds,71.0
P00038,AMZN,Equity,64.0
P00039,MSFT,Equity,25.0
P00039,HD,Equity,37.0
P00039,AGG,Bonds,24.0
P00039,TLT,Bonds,14.0
P00039,PEP,Equity,77.0
P00039,CSCO,Equity,67.0
P00039,CASH,Cash,14071.5
P00040,ORCL,Equity,35.0
P00040,TLT,Bonds,42.0
P00040,NVDA,Equity,16.0
P00040,PEP,Equity,23.0
P00040,TMO,Equity,46.0
P00040,HYG,Bonds,145.0
P00040,CASH,Cash,13373.85
P00040,META,Equity,25.0
P00041,MSFT,Equity,76.0
P00041,V,Equity,60.0
P00041,UNH,Equity,46.0
P00041,TMO,Equity,50.0
P00041,META,Equity,36.0
P00041,HYG,Bonds,57.0
P00041,COST,Equity,31.0
P00041,CASH,Cash,15278.0
P00041,IEF,Bonds,12.0
P00041,BND,Bonds,32.0
P00041,KO,Equity,8.0
P00042,HD,Equity,8.0
P00042,V,Equity,69.0
P00042,AGG,Bonds,143.0
P00042,TLT,Bonds,100.0
P00042,UNH,Equity,12.0
P00042,PEP,Equity,41.0
P00042,AAPL,Equity,40.0
P00042,COST,Equity,17.0
P00042,CRM,Equity,37.0
P00042,CASH,Cash,8270.84
P00042,BND,Bonds,127.0
P00042,NFLX,Equity,52.0
P00043,ORCL,Equity,8.0
P00043,UNH,Equity,33.0
P00043,PEP,Equity,51.0
P00043,COST,Equity,42.0
P00043,BND,Bonds,172.0
P00043,NFLX,Equity,54.0
P00044,UNH,Equity,17.0
P00044,META,Equity,10.0
P00044,CSCO,Equity,53.0
P00044,CASH,Cash,1016.97
P00044,IEF,Bonds,121.0
P00045,LQD,Bonds,188.0
P00045,PEP,Equity,48.0
P00045,TMO,Equity,34.0
P00045,COST,Equity,53.0
P00045,CASH,Cash,9435.93
P00045,NFLX,Equity,45.0
P00046,JPM,Equity,75.0
P00046,UNH,Equity,33.0
P00046,INTC,Equity,77.0
P00046,TMO,Equity,72.0
P00046,CASH,Cash,4317.93
P00046,IEF,Bonds,23.0
P00047,JPM,Equity,12.0
P00047,ORCL,Equity,6.0
P00047,PEP,Equity,12.0
P00047,CASH,Cash,13818.63
P00047,BND,Bonds,23.0
P00048,HD,Equity,28.0
P00048,GOOGL,Equity,68.0
P00048,HYG,Bonds,14.0
P00048,CSCO,Equity,66.0
P00048,COST,Equity,26.0
P00048,NFLX,Equity,13.0
P00049,HD,Equity,57.0
