portfolio_id,portfolio_name,advisor_name,risk_profile_name,base_currency,created_at
P00001,Client Portfolio 00001,Advisor_21,Conservative,USD,2026-02-20 16:59:57
P00002,Client Portfolio 00002,Advisor_24,Conservative,USD,2026-02-20 16:59:57
P00003,Client Portfolio 00003,Advisor_08,Conservative,USD,2026-02-20 16:59:57
P00004,Client Portfolio 00004,Advisor_04,Moderate,USD,2026-02-20 16:59:57
P00005,Client Portfolio 00005,Advisor_18,Conservative,USD,2026-02-20 16:59:57
P00006,Client Portfolio 00006,Advisor_14,Conservative,USD,2026-02-20 16:59:57
P00007,Client Portfolio 00007,Advisor_03,Conservative,USD,2026-02-20 16:59:57
P00008,Client Portfolio 00008,Advisor_17,Moderate,USD,2026-02-20 16:59:57
P00009,Client Portfolio 00009,Advisor_18,Conservative,USD,2026-02-20 16:59:57
P00010,Client Portfolio 00010,Advisor_21,Moderate,USD,2026-02-20 16:59:57
P00011,Client Portfolio 00011,Advisor_14,Conservative,USD,2026-02-20 16:59:57
P00012,Client Portfolio 00012,Advisor_19,Conservative,USD,2026-02-20 16:59:57
P00013,Client Portfolio 00013,Advisor_01,Moderate,USD,2026-02-20 16:59:57
P00014,Client Portfolio 00014,Advisor_06,Moderate,USD,2026-02-20 16:59:57
P00015,Client Portfolio 00015,Advisor_11,Conservative,USD,2026-02-20 16:59:57
P00016,Client Portfolio 00016,Advisor_07,Aggressive,USD,2026-02-20 16:59:57
P00017,Client Portfolio 00017,Advisor_11,Conservative,USD,2026-02-20 16:59:57
P00018,Client Portfolio 00018,Advisor_13,Conservative,USD,2026-02-20 16:59:57
P00019,Client Portfolio 00019,Advisor_12,Moderate,USD,2026-02-20 16:59:57
P00020,Client Portfolio 00020,Advisor_02,Moderate,USD,2026-02-20 16:59:57
P00021,Client Portfolio 00021,Advisor_18,Conservative,USD,2026-02-20 16:59:57
P00022,Client Portfolio 00022,Advisor_13,Conservative,USD,2026-02-20 16:59:57
P00023,Client Portfolio 00023,Advisor_10,Aggressive,USD,2026-02-20 16:59:57
P00024,Client Portfolio 00024,Advisor_20,Aggressive,USD,2026-02-20 16:59:57
P00025,Client Portfolio 00025,Advisor_12,Moderate,USD,2026-02-20 16:59:57
P00026,Client Portfolio 00026,Advisor_23,Conservative,USD,2026-02-20 16:59:57
P00027,Client Portfolio 00027,Advisor_22,Conservative,USD,2026-02-20 16:59:57
P00028,Client Portfolio 00028,Advisor_10,Aggressive,USD,2026-02-20 16:59:57
P00029,Client Portfolio 00029,Advisor_08,Aggressive,USD,2026-02-20 16:59:57
P00030,Client Portfolio 00030,Advisor_13,Conservative,USD,2026-02-20 16:59:57
P00031,Client Portfolio 00031,Advisor_21,Aggressive,USD,2026-02-20 16:59:57
P00032,Client Portfolio 00032,Advisor_06,Moderate,USD,2026-02-20 16:59:57
P00033,Client Portfolio 00033,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00034,Client Portfolio 00034,Advisor_23,Aggressive,USD,2026-02-20 16:59:57
P00035,Client Portfolio 00035,Advisor_21,Conservative,USD,2026-02-20 16:59:57
P00036,Client Portfolio 00036,Advisor_21,Conservative,USD,2026-02-20 16:59:57
P00037,Client Portfolio 00037,Advisor_24,Conservative,USD,2026-02-20 16:59:57
P00038,Client Portfolio 00038,Advisor_15,Moderate,USD,2026-02-20 16:59:57
P00039,Client Portfolio 00039,Advisor_21,Moderate,USD,2026-02-20 16:59:57
P00040,Client Portfolio 00040,Advisor_08,Moderate,USD,2026-02-20 16:59:57
P00041,Client Portfolio 00041,Advisor_25,Moderate,USD,2026-02-20 16:59:57
P00042,Client Portfolio 00042,Advisor_08,Aggressive,USD,2026-02-20 16:59:57
P00043,Client Portfolio 00043,Advisor_11,Moderate,USD,2026-02-20 16:59:57
P00044,Client Portfolio 00044,Advisor_03,Conservative,USD,2026-02-20 16:59:57
P00045,Client Portfolio 00045,Advisor_19,Aggressive,USD,2026-02-20 16:59:57
P00046,Client Portfolio 00046,Advisor_11,Conservative,USD,2026-02-20 16:59:57
P00047,Client Portfolio 00047,Advisor_16,Moderate,USD,2026-02-20 16:59:57
P00048,Client Portfolio 00048,Advisor_21,Moderate,USD,2026-02-20 16:59:57
P00049,Client Portfolio 00049,Advisor_09,Conservative,USD,2026-02-20 16:59:57
P00050,Client Portfolio 00050,Advisor_24,Moderate,USD,2026-02-20 16:59:57
P00051,Client Portfolio 00051,Advisor_09,Moderate,USD,2026-02-20 16:59:57
P00052,Client Portfolio 00052,Advisor_14,Aggressive,USD,2026-02-20 16:59:57
P00053,Client Portfolio 00053,Advisor_13,Moderate,USD,2026-02-20 16:59:57
P00054,Client Portfolio 00054,Advisor_05,Moderate,USD,2026-02-20 16:59:57
P00055,Client Portfolio 00055,Advisor_03,Moderate,USD,2026-02-20 16:59:57
P00056,Client Portfolio 00056,Advisor_04,Conservative,USD,2026-02-20 16:59:57
P00057,Client Portfolio 00057,Advisor_06,Moderate,USD,2026-02-20 16:59:57
P00058,Client Portfolio 00058,Advisor_14,Moderate,USD,2026-02-20 16:59:57
P00059,Client Portfolio 00059,Advisor_13,Moderate,USD,2026-02-20 16:59:57
P00060,Client Portfolio 00060,Advisor_15,Moderate,USD,2026-02-20 16:59:57
P00061,Client Portfolio 00061,Advisor_18,Aggressive,USD,2026-02-20 16:59:57
P00062,Client Portfolio 00062,Advisor_01,Moderate,USD,2026-02-20 16:59:57
P00063,Client Portfolio 00063,Advisor_04,Moderate,USD,2026-02-20 16:59:57
P00064,Client Portfolio 00064,Advisor_18,Moderate,USD,2026-02-20 16:59:57
P00065,Client Portfolio 00065,Advisor_25,Moderate,USD,2026-02-20 16:59:57
P00066,Client Portfolio 00066,Advisor_04,Conservative,USD,2026-02-20 16:59:57
P00067,Client Portfolio 00067,Advisor_06,Moderate,USD,2026-02-20 16:59:57
P00068,Client Portfolio 00068,Advisor_24,Aggressive,USD,2026-02-20 16:59:57
P00069,Client Portfolio 00069,Advisor_09,Aggressive,USD,2026-02-20 16:59:57
P00070,Client Portfolio 00070,Advisor_25,Conservative,USD,2026-02-20 16:59:57
P00071,Client Portfolio 00071,Advisor_04,Aggressive,USD,2026-02-20 16:59:57
P00072,Client Portfolio 00072,Advisor_10,Aggressive,USD,2026-02-20 16:59:57
P00073,Client Portfolio 00073,Advisor_17,Moderate,USD,2026-02-20 16:59:57
P00074,Client Portfolio 00074,Advisor_05,Moderate,USD,2026-02-20 16:59:57
P00075,Client Portfolio 00075,Advisor_06,Moderate,USD,2026-02-20 16:59:57
P00076,Client Portfolio 00076,Advisor_25,Aggressive,USD,2026-02-20 16:59:57
P00077,Client Portfolio 00077,Advisor_01,Moderate,USD,2026-02-20 16:59:57
P00078,Client Portfolio 00078,Advisor_16,Conservative,USD,2026-02-20 16:59:57
P00079,Client Portfolio 00079,Advisor_12,Aggressive,USD,2026-02-20 16:59:57
P00080,Client Portfolio 00080,Advisor_10,Conservative,USD,2026-02-20 16:59:57
P00081,Client Portfolio 00081,Advisor_08,Aggressive,USD,2026-02-20 16:59:57
P00082,Client Portfolio 00082,Advisor_03,Conservative,USD,2026-02-20 16:59:57
P00083,Client Portfolio 00083,Advisor_16,Aggressive,USD,2026-02-20 16:59:57
P00084,Client Portfolio 00084,Advisor_25,Moderate,USD,2026-02-20 16:59:57
P00085,Client Portfolio 00085,Advisor_05,Conservative,USD,2026-02-20 16:59:57
P00086,Client Portfolio 00086,Advisor_16,Aggressive,USD,2026-02-20 16:59:57
P00087,Client Portfolio 00087,Advisor_06,Conservative,USD,2026-02-20 16:59:57
P00088,Client Portfolio 00088,Advisor_20,Moderate,USD,2026-02-20 16:59:57
P00089,Client Portfolio 00089,Advisor_07,Aggressive,USD,2026-02-20 16:59:57
P00090,Client Portfolio 00090,Advisor_25,Moderate,USD,2026-02-20 16:59:57
P00091,Client Portfolio 00091,Advisor_07,Moderate,USD,2026-02-20 16:59:57
P00092,Client Portfolio 00092,Advisor_13,Aggressive,USD,2026-02-20 16:59:57
P00093,Client Portfolio 00093,Advisor_21,Moderate,USD,2026-02-20 16:59:57
P00094,Client Portfolio 00094,Advisor_17,Moderate,USD,2026-02-20 16:59:57
P00095,Client Portfolio 00095,Advisor_08,Conservative,USD,2026-02-20 16:59:57
P00096,Client Portfolio 00096,Advisor_11,Conservative,USD,2026-02-20 16:59:57
P00097,Client Portfolio 00097,Advisor_18,Conservative,USD,2026-02-20 16:59:57
P00098,Client Portfolio 00098,Advisor_08,Conservative,USD,2026-02-20 16:59:57
P00099,Client Portfolio 00099,Advisor_23,Moderate,USD,2026-02-20 16:59:57
P00100,Client Portfolio 00100,Advisor_08,Conservative,USD,2026-02-20 16:59:57
P00101,Client Portfolio 00101,Advisor_02,Aggressive,USD,2026-02-20 16:59:57
P00102,Client Portfolio 00102,Advisor_03,Moderate,USD,2026-02-20 16:59:57
P00103,Client Portfolio 00103,Advisor_09,Moderate,USD,2026-02-20 16:59:57
